neck_angle,shoulder_tilt,spine_lean_angle,forward_head_offset,shoulder_hip_alignment,ear_shoulder_dist,shoulder_symmetry,lateral_lean,label_raw,label,subject
173.0661,4.8954,175.4314,0.3689,173.0661,0.0894,0.9376,3.4606,TLF,Forward Lean,1
172.623,5.0051,175.516,0.4462,172.623,0.0884,0.9356,3.4001,TLF,Forward Lean,1
172.4229,5.0613,175.5205,0.4757,172.4229,0.088,0.9346,3.398,TLF,Forward Lean,1
168.5744,5.1529,175.5039,1.0966,168.5744,0.0909,0.9333,3.4142,TLF,Forward Lean,1
169.0644,5.098,175.521,1.0489,169.0644,0.0933,0.9343,3.3977,TLF,Forward Lean,1
168.7098,5.117,175.5141,1.0739,168.7098,0.0906,0.934,3.3949,TLF,Forward Lean,1
168.6366,5.2236,175.4949,1.0773,168.6366,0.0902,0.9323,3.4137,TLF,Forward Lean,1
168.3431,5.3506,175.3981,1.1098,168.3431,0.0904,0.9305,3.4932,TLF,Forward Lean,1
168.6468,5.3286,175.546,1.0849,168.6468,0.0903,0.9303,3.3811,TLF,Forward Lean,1
172.5948,5.4192,175.002,0.3637,172.5948,0.0866,0.93,3.7352,TLF,Forward Lean,1
171.1864,5.407,174.8849,0.5498,171.1864,0.0852,0.9306,3.8229,TLF,Forward Lean,1
170.6454,5.3012,174.8955,0.6295,170.6454,0.0849,0.9318,3.8213,TLF,Forward Lean,1
170.374,5.4275,174.8721,0.6616,170.374,0.0844,0.9297,3.8574,TLF,Forward Lean,1
171.6796,5.4108,174.8155,0.4654,171.6796,0.0851,0.9301,3.9031,TLF,Forward Lean,1
173.3014,4.6625,174.8914,0.2454,173.3014,0.0884,0.944,3.8319,TLF,Forward Lean,1
173.1597,4.4053,174.9178,0.2763,173.1597,0.0901,0.9491,3.8251,TLF,Forward Lean,1
173.4349,4.3867,174.8493,0.2232,173.4349,0.0904,0.9497,3.8774,TLF,Forward Lean,1
173.4908,4.298,175.0082,0.2395,173.4908,0.0905,0.9507,3.7578,TLF,Forward Lean,1
144.4166,14.2905,148.8598,0.8457,144.4166,0.1092,0.9748,21.6942,TLL,Lateral Tilt Left,1
159.1281,11.3574,163.6983,0.813,159.1281,0.102,0.9513,11.7952,TLL,Lateral Tilt Left,1
158.5529,10.0504,162.6417,0.7302,158.5529,0.1024,0.992,12.4668,TLL,Lateral Tilt Left,1
158.5871,9.1692,162.1471,0.6267,158.5871,0.1009,0.9824,12.7058,TLL,Lateral Tilt Left,1
157.8686,8.9492,161.9005,0.7023,157.8686,0.0999,0.9754,12.8634,TLL,Lateral Tilt Left,1
156.002,8.8729,161.391,0.942,156.002,0.1003,0.9705,13.2408,TLL,Lateral Tilt Left,1
147.9562,7.6328,162.8727,2.551,147.9562,0.0991,0.9517,12.3018,TLL,Lateral Tilt Left,1
153.0831,6.632,163.0854,1.5,153.0831,0.0864,0.9318,12.2751,TLL,Lateral Tilt Left,1
150.3777,6.4643,163.2469,1.9871,150.3777,0.0892,0.9295,12.1347,TLL,Lateral Tilt Left,1
149.6825,6.2099,163.3253,2.4135,149.6825,0.1023,0.9244,12.1189,TLL,Lateral Tilt Left,1
150.3252,6.1385,163.4023,2.5099,150.3252,0.1109,0.923,12.0795,TLL,Lateral Tilt Left,1
151.2809,5.6608,163.735,2.4043,151.2809,0.1115,0.9136,11.9043,TLL,Lateral Tilt Left,1
151.7017,6.3539,163.9209,2.3106,151.7017,0.1092,0.9295,11.8644,TLL,Lateral Tilt Left,1
169.8761,9.0615,157.3857,-2.1836,169.8761,0.101,0.9586,17.2852,TLL,Lateral Tilt Left,1
165.693,15.798,145.5115,-6.7578,165.693,0.0898,0.9374,23.3136,TLL,Lateral Tilt Left,1
